DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
11/11/2020,,Bought 10 AMGN @ 245.145,10,AMGN,245.145,0,-2451.45,,,,
11/11/2020,,Bought 1000 ITUB @ 5.35,1000,ITUB,5.35,0,-5350,,,,
11/11/2020,,Bought 100 AAPL @ 118.365,100,AAPL,118.365,0,-11836.5,,,,
11/11/2020,,Sold 3 AAPL @ 118.215,3,AAPL,118.215,0,354.64,0.01,,,
11/11/2020,,Sold 97 AAPL @ 118.2101,97,AAPL,118.2101,0,11466.12,0.26,,,
11/11/2020,,Bought 1000 ITUB @ 5.32,1000,ITUB,5.32,0,-5320,,,,
11/11/2020,,Bought 50 AAPL @ 117.9909,50,AAPL,117.9909,0,-5899.55,,,,
11/11/2020,,Bought 50 AAPL @ 118.1302,50,AAPL,118.1302,0,-5906.51,,,,
11/11/2020,,Sold 2000 ITUB @ 5.32,2000,ITUB,5.32,0,10639.52,0.48,,,
11/11/2020,,Sold 100 AAPL @ 117.955,100,AAPL,117.955,0,11795.23,0.27,,,
11/11/2020,,Bought 100 DOCU @ 204.9936,100,DOCU,204.9936,0,-20499.36,,,,
11/11/2020,,Sold 50 DOCU @ 205.32,50,DOCU,205.32,0,10265.76,0.24,,,
11/11/2020,,Sold 50 DOCU @ 205.31,50,DOCU,205.31,0,10265.26,0.24,,,
11/11/2020,,Bought 100 AAPL @ 118.0452,100,AAPL,118.0452,0,-11804.52,,,,
11/11/2020,,Sold 50 AAPL @ 118.13,50,AAPL,118.13,0,5906.36,0.14,,,
11/11/2020,,Sold 50 AAPL @ 118.3601,50,AAPL,118.3601,0,5917.87,0.14,,,
11/11/2020,,Sold 10 AMGN @ 240.87,10,AMGN,240.87,0,2408.65,0.05,,,
11/11/2020,,Bought 50 DOCU @ 205,50,DOCU,205,0,-10250,,,,
11/11/2020,,Bought 50 DOCU @ 204.6,50,DOCU,204.6,0,-10230,,,,
11/11/2020,,Sold 100 DOCU @ 203.6668,100,DOCU,203.6668,0,20366.22,0.46,,,
11/11/2020,,Sold Short 50 TDOC @ 176.38,50,TDOC,176.38,0,8818.8,0.2,,,
11/11/2020,,Bought to Cover 50 TDOC @ 176.705,50,TDOC,176.705,0,-8835.25,,,,
11/11/2020,,Bought 10 AMZN @ 3111.31,10,AMZN,3111.31,0,-31113.1,,,,
11/11/2020,,Sold 5 AMZN @ 3115.125,5,AMZN,3115.125,0,15575.29,0.34,,,
11/11/2020,,Sold 2 AMZN @ 3115.4,2,AMZN,3115.4,0,6230.66,0.14,,,
11/11/2020,,Sold 2 AMZN @ 3114,2,AMZN,3114,0,6227.86,0.14,,,
11/11/2020,,Sold 1 AMZN @ 3114.755,1,AMZN,3114.755,0,3114.69,0.07,,,
11/11/2020,,Bought 10 AMZN @ 3107.1404,10,AMZN,3107.1404,0,-31071.4,,,,
11/11/2020,,Sold 5 AMZN @ 3109.61,5,AMZN,3109.61,0,15547.71,0.34,,,
11/11/2020,,Sold 2 AMZN @ 3112.27,2,AMZN,3112.27,0,6224.4,0.14,,,
11/11/2020,,Sold 1 AMZN @ 3117.15,1,AMZN,3117.15,0,3117.08,0.07,,,
11/11/2020,,Sold 2 AMZN @ 3113,2,AMZN,3113,0,6225.86,0.14,,,
11/11/2020,,Bought 5 AMZN @ 3121.17,5,AMZN,3121.17,0,-15605.85,,,,
11/11/2020,,Bought 5 AMZN @ 3120.4999,5,AMZN,3120.4999,0,-15602.5,,,,
11/11/2020,,Sold 5 AMZN @ 3118.005,5,AMZN,3118.005,0,15589.69,0.34,,,
11/11/2020,,Sold 5 AMZN @ 3115.21,5,AMZN,3115.21,0,15575.71,0.34,,,
11/11/2020,,Bought 5 AMZN @ 3112.648,5,AMZN,3112.648,0,-15563.24,,,,
11/11/2020,,Sold 2 AMZN @ 3110.8092,2,AMZN,3110.8092,0,6221.48,0.14,,,
11/11/2020,,Sold 3 AMZN @ 3117.7867,3,AMZN,3117.7867,0,9353.15,0.21,,,
11/11/2020,,Sold Short 30 SHAK @ 78.015,30,SHAK,78.015,0,2340.4,0.05,,,
11/11/2020,,Bought 50 AAPL @ 119.3841,50,AAPL,119.3841,0,-5969.21,,,,
11/11/2020,,Sold 50 AAPL @ 119.1139,50,AAPL,119.1139,0,5955.56,0.14,,,
11/11/2020,,Bought 20 NFLX @ 484.7292,20,NFLX,484.7292,0,-9694.58,,,,
11/11/2020,,Bought 20 NFLX @ 484.425,20,NFLX,484.425,0,-9688.5,,,,
11/11/2020,,Bought 22 XLNX @ 126.125,22,XLNX,126.125,0,-2774.75,,,,
11/11/2020,,Sold 40 NFLX @ 485.76,40,NFLX,485.76,0,19429.97,0.43,,,
11/11/2020,,Bought 300 DKNG @ 41.505,300,DKNG,41.505,0,-12451.5,,,,
11/11/2020,,Bought to Cover 30 SHAK @ 76.37,30,SHAK,76.37,0,-2291.1,,,,
11/11/2020,,Sold 150 DKNG @ 41.56,150,DKNG,41.56,0,6233.84,0.16,,,
11/11/2020,,Sold 75 DKNG @ 41.61,75,DKNG,41.61,0,3120.67,0.08,,,
11/11/2020,,Sold 75 DKNG @ 41.65,75,DKNG,41.65,0,3123.67,0.08,,,
11/11/2020,,Bought 300 DKNG @ 41.777,300,DKNG,41.777,0,-12533.1,,,,
11/11/2020,,Bought 300 DKNG @ 41.7358,300,DKNG,41.7358,0,-12520.74,,,,
11/11/2020,,Sold 300 DKNG @ 41.6686,300,DKNG,41.6686,0,12500.26,0.32,,,
11/11/2020,,Sold 313 DKNG @ 41.61,313,DKNG,41.61,0,13023.6,0.33,,,
11/11/2020,,Bought 100 AAPL @ 119.3098,100,AAPL,119.3098,0,-11930.98,,,,
11/11/2020,,Bought 300 PBR @ 8.615,300,PBR,8.615,0,-2584.5,,,,
11/11/2020,,Bought 100 AAPL @ 119.1899,100,AAPL,119.1899,0,-11918.99,,,,
11/11/2020,,Sold 200 AAPL @ 119.28,200,AAPL,119.28,0,23855.45,0.55,,,
11/11/2020,,Sold 300 PBR @ 8.645,300,PBR,8.645,0,2593.4,0.1,,,
11/11/2020,,Sold 22 XLNX @ 127.1095,22,XLNX,127.1095,0,2796.35,0.06,,,
11/11/2020,,Sold Short 50 SPWR @ 19.475,50,SPWR,19.475,0,973.72,0.03,,,
11/11/2020,,Bought 124 FLWS @ 20.71,124,FLWS,20.71,0,-2568.04,,,,
11/11/2020,,Bought to Cover 50 SPWR @ 19.69,50,SPWR,19.69,0,-984.5,,,,
11/11/2020,,Bought 4 WIX @ 270.7799,4,WIX,270.7799,0,-1083.12,,,,
***END OF FILE***,,,,,,,,,,,
